"Timestamp","Texture Assessment:
Please rate the texture of this mango image ?","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Maturity Assessment:
Please rate the maturity of the above mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image "
"2024/05/18 1:18:16 pm GMT+5:30","Slightly Rough","Slightly Unhealthy","Early ripe","Smooth","Healthy","Partially ripe","Smooth","Very Healthy","Ripe","Smooth","Healthy","Ripe","Moderately Smooth","Slightly Unhealthy","Ripe","Moderately Smooth","Slightly Unhealthy","Over ripe","Smooth","Healthy","Ripe","Smooth","Unripe","Slightly Unhealthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Moderately Healthy","Early ripe"
"2024/05/18 2:40:42 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Partially ripe","Very Smooth","Healthy","Ripe","Moderately Smooth","Slightly Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Very Smooth","Very Healthy","Over ripe","Moderately Smooth","Partially ripe","Slightly Unhealthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Unripe","Smooth","Healthy","Partially ripe"
"2024/05/18 4:56:22 pm GMT+5:30","Very Rough","Slightly Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe","Very Smooth","Very Healthy","Ripe","Very Smooth","Healthy","Partially ripe","Very Smooth","Moderately Healthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Unripe","Slightly Unhealthy","Slightly Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Very Healthy","Partially ripe"
"2024/05/18 5:08:47 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe","Very Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Smooth","Very Healthy","Over ripe","Very Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Ripe","Moderately Smooth","Unripe","Slightly Unhealthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Unripe","Smooth","Healthy","Partially ripe"
"2024/05/18 5:39:33 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Healthy","Partially ripe","Smooth","Healthy","Partially ripe","Smooth","Healthy","Partially ripe","Slightly Rough","Slightly Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Very Smooth","Very Healthy","Ripe","Moderately Smooth","Unripe","Very Unhealthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Smooth","Healthy","Partially ripe"
"2024/05/18 5:56:06 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Early ripe","Very Smooth","Very Healthy","Ripe","Smooth","Moderately Healthy","Ripe","Moderately Smooth","Slightly Unhealthy","Partially ripe","Very Smooth","Healthy","Over ripe","Very Smooth","Very Healthy","Ripe","Smooth","Unripe","Very Unhealthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Moderately Healthy","Partially ripe"
"2024/05/18 6:44:14 pm GMT+5:30","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Over ripe","Very Healthy","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Very Healthy","Over ripe"
"2024/05/18 7:11:46 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Healthy","Ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Moderately Smooth","Healthy","Partially ripe","Slightly Rough","Slightly Unhealthy","Partially ripe","Very Rough","Slightly Unhealthy","Partially ripe","Smooth","Healthy","Ripe","Smooth","Unripe","Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Early ripe","Moderately Smooth","Moderately Healthy","Early ripe"
"2024/05/19 11:25:19 am GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Healthy","Partially ripe","Smooth","Healthy","Ripe","Smooth","Moderately Healthy","Partially ripe","Moderately Smooth","Very Unhealthy","Early ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Partially ripe","Smooth","Ripe","Moderately Healthy","Very Rough","Very Unhealthy","Unripe","Very Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe"
"2024/05/19 5:51:15 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Healthy","Partially ripe","Very Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Slightly Rough","Slightly Unhealthy","Over ripe","Very Rough","Very Unhealthy","Partially ripe","Smooth","Very Healthy","Ripe","Moderately Smooth","Unripe","Slightly Unhealthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe"
"2024/05/19 5:58:31 pm GMT+5:30","Very Smooth","Very Unhealthy","Unripe","Slightly Rough","Moderately Healthy","Early ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Slightly Rough","Slightly Unhealthy","Early ripe","Smooth","Healthy","Ripe","Smooth","Ripe","Healthy","Slightly Rough","Slightly Unhealthy","Early ripe","Very Rough","Very Unhealthy","Unripe","Smooth","Healthy","Ripe"
"2024/05/19 5:59:14 pm GMT+5:30","Smooth","Very Unhealthy","Early ripe","Very Smooth","Very Healthy","Over ripe","Very Smooth","Slightly Unhealthy","Partially ripe","Smooth","Moderately Healthy","Early ripe","Very Smooth","Very Unhealthy","Over ripe","Smooth","Very Unhealthy","Over ripe","Very Smooth","Healthy","Ripe","Slightly Rough","Unripe","Healthy","Moderately Smooth","Very Unhealthy","Over ripe","Smooth","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Early ripe"
"2024/05/19 5:59:57 pm GMT+5:30","Smooth","Very Unhealthy","Over ripe","Moderately Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Ripe","Smooth","Healthy","Ripe","Slightly Rough","Slightly Unhealthy","Early ripe","Smooth","Very Unhealthy","Over ripe","Very Smooth","Very Healthy","Ripe","Slightly Rough","Unripe","Healthy","Moderately Smooth","Slightly Unhealthy","Early ripe","Very Smooth","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe"
"2024/05/19 6:02:08 pm GMT+5:30","Moderately Smooth","Slightly Unhealthy","Over ripe","Moderately Smooth","Healthy","Partially ripe","Smooth","Moderately Healthy","Ripe","Very Smooth","Healthy","Early ripe","Moderately Smooth","Slightly Unhealthy","Early ripe","Very Smooth","Moderately Healthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Moderately Smooth","Ripe","Slightly Unhealthy","Smooth","Moderately Healthy","Ripe","Smooth","Very Healthy","Partially ripe","Smooth","Moderately Healthy","Early ripe"
"2024/05/19 6:07:28 pm GMT+5:30","Very Smooth","Very Unhealthy","Over ripe","Moderately Smooth","Healthy","Ripe","Slightly Rough","Healthy","Partially ripe","Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Very Smooth","Slightly Unhealthy","Over ripe","Smooth","Very Healthy","Ripe","Very Rough","Unripe","Moderately Healthy","Very Smooth","Very Unhealthy","Over ripe","Very Smooth","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe"
"2024/05/19 6:56:27 pm GMT+5:30","Slightly Rough","Very Unhealthy","Over ripe","Very Smooth","Very Healthy","Ripe","Moderately Smooth","Healthy","Over ripe","Very Smooth","Very Healthy","Ripe","Slightly Rough","Very Unhealthy","Over ripe","Slightly Rough","Very Unhealthy","Partially ripe","Very Smooth","Very Healthy","Ripe","Very Smooth","Unripe","Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Very Healthy","Partially ripe"
"2024/05/21 1:59:43 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Moderately Healthy","Ripe","Smooth","Healthy","Partially ripe","Smooth","Healthy","Ripe","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Healthy","Ripe","Smooth","Partially ripe","Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Healthy","Ripe"
"2024/05/21 7:25:34 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Partially ripe","Slightly Rough","Moderately Healthy","Partially ripe","Moderately Smooth","Healthy","Ripe","Slightly Rough","Slightly Unhealthy","Partially ripe","Slightly Rough","Healthy","Over ripe","Smooth","Unripe","Healthy","Slightly Rough","Slightly Unhealthy","Early ripe","Very Rough","Slightly Unhealthy","Partially ripe","Slightly Rough","Moderately Healthy","Early ripe"
"2024/05/21 7:29:00 pm GMT+5:30","Slightly Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe","Very Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Ripe","Moderately Smooth","Moderately Healthy","Early ripe","Slightly Rough","Slightly Unhealthy","Early ripe","Very Smooth","Very Healthy","Ripe","Very Rough","Unripe","Slightly Unhealthy","Slightly Rough","Very Unhealthy","Unripe","Very Rough","Very Unhealthy","Unripe","Smooth","Moderately Healthy","Partially ripe"
"2024/05/21 7:35:53 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Healthy","Ripe","Very Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Ripe","Very Smooth","Moderately Healthy","Over ripe","Slightly Rough","Slightly Unhealthy","Over ripe","Slightly Rough","Healthy","Ripe","Very Rough","Unripe","Healthy","Very Smooth","Very Unhealthy","Over ripe","Very Smooth","Very Unhealthy","Over ripe","Slightly Rough","Moderately Healthy","Early ripe"
"2024/05/21 7:39:44 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Slightly Rough","Slightly Unhealthy","Over ripe","Slightly Rough","Very Unhealthy","Over ripe","Very Smooth","Very Healthy","Ripe","Slightly Rough","Unripe","Moderately Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe"
"2024/05/21 7:43:16 pm GMT+5:30","Very Rough","Very Unhealthy","Early ripe","Slightly Rough","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Ripe","Very Smooth","Over ripe","Very Healthy","Slightly Rough","Slightly Unhealthy","Partially ripe","Very Rough","Very Unhealthy","Unripe","Moderately Smooth","Moderately Healthy","Partially ripe"
"2024/05/21 7:50:34 pm GMT+5:30","Very Smooth","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Over ripe","Smooth","Moderately Healthy","Over ripe","Smooth","Moderately Healthy","Ripe","Very Smooth","Slightly Unhealthy","Over ripe","Very Smooth","Slightly Unhealthy","Over ripe","Slightly Rough","Healthy","Ripe","Very Rough","Unripe","Healthy","Very Smooth","Very Unhealthy","Over ripe","Very Smooth","Slightly Unhealthy","Over ripe","Slightly Rough","Healthy","Partially ripe"
